"Test" "Group" "Subj" "eAP" "eML" "dAP" "dML" "dTot" "dSmth" "GT" "eTot" "test"
"109" "teoh" "W" "km" 810.65 396.10733 226.53 252.19 373.88 83.43 "W.teoh" 1206.75733 1
"110" "tech" "W" "km" 550.965333 803.716 222.28 236.1 354.16 94.69 "W.tech" 1354.68133 2
"111" "tvch" "W" "km" 160.685667 555.43067 222.35 336.29 435.17 100.14 "W.tvch" 716.11633 3
"112" "teof" "W" "km" 546.095 991.976 270.69 332.88 472.03 149.07 "W.teof" 1538.071 4
"113" "tecf" "W" "km" 755.177333 1382.092 260.68 321.61 455.57 197.78 "W.tecf" 2137.26933 5
"114" "tvcf" "W" "km" 857.469667 2694.24667 260.99 331.35 461.65 192.01 "W.tvcf" 3551.71633 6
"115" "teoh" "W" "kw" 76.542333 67.13833 309.27 366.56 528.07 48.45 "W.teoh" 143.68067 1
"116" "tech" "W" "kw" 120.890667 673.238 336.54 388.52 564.97 120.15 "W.tech" 794.12867 2
"117" "tvch" "W" "kw" 143.306333 1357.99367 359.69 398.75 591.85 134.34 "W.tvch" 1501.3 3
"118" "teof" "W" "kw" 929.108667 753.96733 362.88 417.03 608.77 131.35 "W.teof" 1683.076 4
"119" "tecf" "W" "kw" 1754.067667 4580.996 453.55 554.31 791.13 471.76 "W.tecf" 6335.06367 5
"120" "tvcf" "W" "kw" 1417.588 2225.96167 411.25 515.5 727.83 324.29 "W.tvcf" 3643.54967 6
"121" "teoh" "W" "lc" 68.72 85.95033 288.44 379.3 524.9 64.8 "W.teoh" 154.67033 1
"122" "tech" "W" "lc" 37.744667 109.594 278.74 410.14 543.58 55.42 "W.tech" 147.33867 2
"123" "tvch" "W" "lc" 37.620333 103.57567 273.63 388.95 522.65 63.59 "W.tvch" 141.196 3
"124" "teof" "W" "lc" 219.033333 103.10267 323.45 387.69 558.36 58.27 "W.teof" 322.136 4
"125" "tecf" "W" "lc" 1201.415333 690.211 353.3 513.16 680.95 163.3 "W.tecf" 1891.62633 5
"126" "tvcf" "W" "lc" 147.422667 847.54167 307.01 415.27 569.68 121.56 "W.tvcf" 994.96433 6
"127" "teoh" "N" "li" 201.785 71.41567 363.15 433.95 624.1 47.39 "N.teoh" 273.20067 1
"128" "tech" "N" "li" 26.229 46.72167 349.94 473.95 648.57 41.75 "N.tech" 72.95067 2
"129" "tvch" "N" "li" 30.935 98.65533 320.5 427.49 590.31 58.55 "N.tvch" 129.59033 3
